ObjectID,Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex
175,-28.20302122,152.015995,69.0,42.0,61.0,1.5,346.0,0.8,130.0,2.0,#ffe2ff,#ffb936,#ff92cb
176,-27.53536323,151.3982361,44.0,42.0,148.0,2.0,479.0,1.1,150.0,25.0,#92ffb0,#ffa040,#f3ffc0
177,-27.37495881,151.22083130000001,24.0,16.0,74.0,1.0,225.0,0.6,50.0,2.3,#8eff94,#ff792d,#e9ff93
178,-27.5608355,151.33191340000002,41.0,28.0,80.0,1.3,395.0,2.8,45.0,8.6,#c4ffcd,#ff4423,#ffe868
179,-27.71306615,151.3184691,33.0,18.0,103.0,2.0,239.0,0.5,140.0,5.0,#88ff82,#feff3b,#d3ffd6
180,-27.58726129,151.39949430000001,44.0,30.5,98.0,2.0,430.0,2.5,66.0,8.0,#b4ffbe,#ff5828,#fff67b
181,-28.19549198,151.96885680000003,43.0,20.0,36.0,2.0,237.0,0.9,60.0,0.0,#ffdedf,#ff872e,#ff8687
182,-28.19024563,151.9698372,55.0,31.0,55.0,1.5,370.0,3.8,60.0,0.0,#fff2f7,#ff5c24,#ff9e6d
183,-28.18455244,151.9709439,64.0,54.0,71.0,2.0,343.0,1.5,180.0,0.0,#d7d6ff,#ffed38,#ff9cf3
184,-28.17905529,151.97204319999997,53.0,45.0,68.0,0.5,328.0,1.7,140.0,0.0,#dbe6ff,#ffcc37,#ffa5d8
185,-28.08984996,151.7885113,66.0,41.0,73.0,5.2,298.0,0.4,190.0,4.0,#fcfdff,#f0ff39,#f5adff
186,-28.09027058,151.7951254,48.0,32.0,148.0,2.0,314.0,1.3,225.0,12.0,#8eff94,#deff3c,#d7fffd
187,-28.09072473,151.80151909999998,11.0,5.3,20.0,3.3,68.0,0.1,28.0,0.0,#bcffac,#ffc836,#fffcd5
188,-27.94946154,151.6629365,73.0,47.0,59.0,1.6,315.0,3.5,165.0,6.5,#f8d3ff,#ffea3b,#ff8df5
189,-27.94299113,151.6672582,39.0,24.5,80.0,1.4,260.0,1.7,115.0,2.1,#baffbc,#ffd138,#fff0dc
190,-27.93569453,151.6695798,57.0,40.0,89.0,1.5,400.0,1.0,112.0,4.0,#deffec,#ff9232,#ffc3a4
191,-27.93551413,151.67002050000002,58.0,40.0,92.0,2.5,363.0,1.1,130.0,4.0,#dbffe7,#ffb236,#ffc0ba
192,-27.92545364,151.67194630000003,59.0,45.0,106.0,3.0,437.0,0.8,120.0,15.0,#cfffe4,#ff9038,#ffd2ac
193,-27.872360200000003,151.5300345,39.0,25.0,81.0,1.7,344.0,1.9,50.0,4.0,#b9ffbd,#ff5425,#fff374
194,-27.85663805,151.55965690000002,28.0,23.0,91.0,2.0,334.0,1.4,70.0,5.0,#91ffa4,#ff732d,#edff90
195,-27.83486114,151.57265900000002,46.0,102.0,480.0,2.0,706.0,3.5,640.0,105.0,#4bff83,#bbff51,#a2fff1
196,-27.8151527,151.4528379,75.0,38.0,116.0,2.0,578.0,3.5,80.0,10.0,#dbffcc,#ff5125,#ffde72
197,-27.78547067,151.4971754,45.0,340.0,1770.0,7.5,148.0,0.0,3100.0,925.0,#30ff74,#25ff4c,#2688ff
198,-27.79452576,151.40165159999998,20.0,18.0,92.0,17.0,249.0,3.9,78.0,18.4,#6aff7d,#ff9e47,#cfffa7
199,-27.78119237,151.4249844,74.0,37.0,105.0,2.2,538.0,2.4,86.0,4.0,#e5ffd4,#ff5c26,#ffd478
